№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
1165,"ФЕНТАНИЛ
(Fentanil)",fentanyl,"Раствор для инъекций 0,05 мг/мл 2 мл N100 (5x20) (ампулы)",Украина,"Здоровье народу, Харьковское ФП, ООО",Опиоидный анальгетик,N02AB03,DV/X 02831/03/17,24.03.17 25.05.22,,по рецепту,,
1166,"ФЕНТАНИЛ
(Fentanil)",fentanyl,"Пластырь трансдермальный 12,5 мкг/ч, 25 мкг/ч, 50 мкг/ч, 75 мкг/ч, 100 мкг/ч N5 (1х5) (саше)",Россия,"Московский эндокринный завод, ФГУП",Наркотическое анальгезирующее средство. Опиоид,N02АB03,DV/X 10737/08/24,27/08/24,,по рецепту,,
1167,"ФЕНТАНИЛ
(Fentanyl)",fentanyl,"Раствор для внутривенного и внутримышечного введения 50 мкг/мл 1 мл, 2 мл N5 (1х5), N10 (2х5), N100 (20x5), N250 (50x5), N500 (100x5) (ампулы)",Россия,"Московский эндокринный завод, ФГУП",Наркотический анальгетик,N01AH01,DV/X 02504/12/16,20.12.16 23.12.21,введены изменения: 17.01.25,по рецепту,,
1168,"ФИЛЬТРУМ®
(Filtrum)",hydrolytic lignin*,Таблетки 400 мг N50 (5x10) (упаковки контурные ячейковые),Россия,"АВВА РУС, АО","Средство, применяемое при отравлениях и интоксикациях",А07В,DV/X 01568/04/16,01.04.16 09.04.21,,без рецепта,,
1169,"ФЛАВОВИР®
(Flavovir)",comb.drug (herba deschampsia caespitosa L; herba calamagrostis epigeios L)*,"Сироп 30 мл, 50 мл (флаконы)",Украина,"Экофарм, НПК, ООО",Противовирусное средство прямого действия. Иммуностимулятор,J05AX; L03AX,DV/X 09042/06/21,15/06/21,,по рецепту,,
1170,"Фламадекс®
(Flamadeks)",dexketoprofen,Раствор для внутривенного и внутримышечного введения 25 мг/мл 2 мл №5 (ампулы),Россия,"Сотекс ФармФирма, ЗАО",Нестероидное противовоспалительное средство,M01AE17,DV/X 01523/04/16,01.04.16 15.06.21,введены изменения: 15.10.25,по рецепту,,
1171,"ФЛАТИПЛАТ
(Flatiplat)",oxaliplatin,"Концентрат для приготовления раствора для инфузий 2 мг/мл 25 мл, 50 мл N1, N2, N3, N5, N10, N20, N30, N50, N60 (флаконы)",Россия,"Фармасинтез-Норд, АО",Противоопухолевое средство,L01XA03,DV/X 08452/11/20,19/11/20,,по рецепту,,
1172,"ФЛЕНОКС®
(Flenoks)",enoxaparin sodium,"Раствор для инъекций 2000 анти-Ха МЕ/0,2 мл; 4000 анти-Ха МЕ/0,4 мл, 6000 анти-Ха МЕ/0,6 мл N2, N10, 8000 анти-Ха МЕ/0,8 мл N2 (шприцы в блистерах)",Украина,"Фармак, АО",Антикоагулянт,B01AB05,DV/X 01436/03/16,04.03.16 01.03.21,,по рецепту,,
1173,"Флертис
(Flertis)",edaravone,"Раствор для инъекций 1,5 мг/мл 20 мл №10 (2х5) (ампулы)",Украина,"Фармак, АО",Нервная система. Другие препараты для лечения заболеваний нервной системы.,N07XX14,DV/X 11141/11/25,28.11.25,,по рецепту,,
1174,"ФЛОКСАДЕКС®
(Floxadex)",comb.drug (ciprofloxacin; dexamethasone),Суспензия глазная/ушная 10 мл (флаконы-капельницы полиэтиленовые),Армения,"Ликвор, ЗАО",Антибактериальное синтетическое средство (гр.фторхинолонов),S03CA01,DV/X 03022/05/17,19.05.17 25.05.22,,по рецепту,,
1175,"ФЛОМИРЕН
(Flomiren)",mycophenolate mofetil,"Таблетки, покрытые пленочной оболочкой 250 мг N100 (10х10), 500 мг N50 (5х10) (контурные ячейковые упаковки)",Россия,"Фармасинтез, АО",Иммунодепрессивное средство,L04AA06,DV/X 10332/12/22,21/12/22,,по рецепту,,
1176,"ФЛУКАПС
(Flukaps)",oseltamivir,"Капсулы 30 мг, 45 мг и 75 мг N10 (1x10) (упаковки контурные ячейковые)",Беларусь,"Минскинтеркапс, УП",Противовирусное средство,J05AH02,DV/X 10746/09/24,16/09/24,,по рецепту,,
1177,"ФЛУКОНАЗОЛ
(Fluconazol)",fluconazole,Раствор для инфузий 2 мг/мл 100 мл (бутылки стеклянные),Украина,"Юрия Фарм ,ООО",Противогрибковое средство,J02AC01,DV/X 01920/07/16,08.07.16 11.10.21,,по рецепту,,
1178,"ФЛУКОНАЗОЛ
(Fluconazolum)",fluconazole,Капсулы 150 мг N10 (1x10) (упаковки контурные ячейковые),Армения,"Арпимед, ООО",Противогрибковое средство,J02AC01,DV/X 03208/06/17,16.06.17 16.08.22,,по рецепту,,
1179,"ФЛУКОНАЗОЛ-АЛИУМ
(Flukonazol-Alium)",fluconazole,"Капсулы 150 мг N1 (1x1), N2 (1x2), N4 (1x4) (упаковки контурные ячейковые)",Россия,"Алиум, АО",Противогрибковый препарат для системного применения,J02AC01,DV/X 10764/10/24,18/10/24,,по рецепту,,
1180,"ФЛУНОЛ®
(Flunol)",fluconazole,Сироп 25 мг/5 мл 70 мл (флаконы с мерной ложкой),Казахстан,"Нобель, Алматинская Фармацевтическая фабрика, АО",Противогрибковое средство,J02AC01,DV/X 08492/11/20,19/11/20,,по рецепту,,
1181,"ФЛУТАФАРМ ФЕМИНА
(Flutafarm Femina)",flutamide,"Таблетки 0,125 г N 30 (3х10) (блистеры)",Украина,"Фармак, АО",Противоопухолевое средство,L02BB01,DV/X 10309/12/22,21/12/22,,по рецепту,,
1182,"ФОЛИЕВАЯ КИСЛОТА
(Folic acid)",folic acid*,Таблетки 5 мг N48 (2x24) (упаковки контурные ячейковые),Армения,"Арпимед, ООО",Витамин,B03BB01,DV/X 02450/11/16,18.11.16 23.12.21,,по рецепту,,
1183,"ФОЛИЕВАЯ КИСЛОТА
(Folic acid)",folic acid*,Таблетки 1 мг N50 (5x10) (упаковки контурные ячейковые),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антианемическое средство (витамин),B03BB01,DV/X 02649/02/17,03.02.17 14.02.22,,по рецепту,,
1184,"ФОЛИЕВАЯ КИСЛОТА
(Folic acid)",folic acid*,"Таблетки 1 мг, 5 мг N50 (контейнеры полимерные)",Украина,"Технолог, ЧАО",Витамин,B03BB01,DV/X 03016/05/17,19.05.17 19.07.22,,по рецепту,,
1185,"ФОЛЛИКУЛИН
(Follikulin)",estrone,"Раствор в масле 0,05% для инъекций 1 мл N10 (ампулы)",Грузия,"Биофарм, АО",Эстроген и его синтетический аналог,G03CA07,DV/X 03770/11/17,21.11.17 30.09.22,,по рецепту,,
1186,"ФОРИНЕКС®
(Forinex)",mometasone,"Спрей назальный, суспензия 50 мкг/доза 140 доз (флаконы с насос -дозатором с распылителем)",Украина,"Фармак, АО",Глюкокортикостероид,R01AD09,DV/X 03030/06/17,06.06.17 25.05.22,,по рецепту,,
1187,"ФОСФОГЛИВ® УРСО
(Fosfogliv URSO)",comb.drug (ursodeoxycholic acid; sodium glycyrrhizinate)*,Капсулы N50 (5х10) (упаковки контурные ячейковые),Россия,"ФармСтандарт-Лексредства, ОАО",Гепатопротектор,A05C,DV/X 09507/12/21,23/12/21,,по рецепту,,
1188,"ФТАЛАЗОЛ
(Ftalazol)",phthalylsulfathiazole,Таблетки 500 мг N10 (упаковки контурные безъячейковые),Россия,"Ирбитский ХФЗ, ОАО",Антибактериальное синтетическое средство (сульфаниламид),A07AB02,DV/X 03314/07/17,07.07.17 21.12.22,,по рецепту,,
1189,"ФТОРУРАЦИЛ
(Ftoruratsil)",fluorouracil,"Раствор для внутрисосудистого и внутриполостного введения 50 мг/мл 5 мл, 10 мл, 20 мл, 100 мл (флаконы)",Россия,"Фармасинтез-Норд, АО","Противоопухолевое средство, антиметаболит",L01BC02,DV/X 10511/07/23,14/07/23,,по рецепту,,
1190,"ФУНГОДЕРИЛ®
(Fungoderil)",naftifine,"Раствор для наружного применения 1% 15 мл, 25 мл (флаконы)",Россия,"Нижфарм, АО","Противогрибковый препарат, применяемый в дерматологии. Противогрибковый препарат для местного применения. Другой противогрибковый препарат для местного применения",D01AE22,DV/X 10849/02/25,15/02/25,введены изменения: 19.04.25,без рецепта,,
1191,"ФУНГОДЕРИЛ®
(Fungoderil)",naftifine,"Раствор для наружного применения 1% 15 мл, 25 мл (флаконы полиэтиленовые)",Россия,"Нижфарм, АО","Противогрибковый препарат, применяемый в дерматологии. Противогрибковый препарат для местного применения. Другой противогрибковый препарат для местного применения",D01AE22,DV/X 10849/02/25,15/02/25,,без рецепта,,
1192,"ФУРАДОНИН
(Furadonin)",nitrofurantoin,"Таблетки 50 мг N10, N30 (3x10), N50 (5x10), N70 (7x10), N100 (10x10) (упаковки контурные безъячейковые), N10, N10 (1x10), N20 (2x10), N30 (3x10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибактериальное синтетическое средство (гр.нитрофурана),J01XE01,DV/X 01918/07/16,08.07.16 16.07.21,введены изменения: 03.03.23,по рецепту,,
1193,"ФУРАДОНИН
(Furadonin)",nitrofurantoin,Таблетки 50 мг №10 (упаковки контурные безъячейковые),Россия,"Ирбитский Химфармзавод, АО",Антибактериальное синтетическое средство (гр.нитрофурана),J01XE01,DV/X 03446/08/17,04.08.17 21.12.22,введены изменения: 31.10.25,по рецепту,,
1194,"ФУРАЗОЛИДОН
(Furazolidon)",furazolidone,"Таблетки 50 мг N10, N30 (3x10), N50 (5x10), N70 (7х10), N100 (10x10) (упаковки контурные безъячейковые), N10, N10 (1x10), N20 (2x10), N30 (3x10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибактериальное синтетическое средство (гр.нитрофурана),G01AX06,DV/X 01861/06/16,17.06.16 16.07.21,введены изменения: 03.03.23,по рецепту,,
1195,"Фуразолидон
(Furazolidon)",furazolidone,Таблетки 50 мг №10 (упаковки контурные безъячейковые),Россия,"Ирбитский Химфармзавод, АО",Антибактериальное синтетическое средство (гр.нитрофурана),G01AX06,DV/X 02263/10/16,04.10.16 10.09.21,введены изменения: 31.10.25,по рецепту,,
1196,"ФУРАЦИЛИН АВЕКСИМА
(Furatsilin Aveksima)",nitrofural,Таблетки шипучие для приготовления раствора для местного и наружного применения 20 мг N10 (2х5) (блистеры),Россия,"Авексима, ОАО произведено: Ирбитский ХФЗ, ОАО",Антибактериальное синтетическое средство (гр.нитрофурана),D08AF01,DV/X 08453/11/20,19/11/20,,без рецепта,,
1197,"ФУРАЦИЛИН
(Furacillinum)",nitrofural,Таблетки для приготовления раствора для местного и наружного применения 20 мг N10 (упаковки контурные безъячейковые),Россия,"Ирбитский ХФЗ, АО",Антибактериальное синтетическое средство (гр.нитрофурана),D08AF01,DV/X 02186/09/16,23.09.16 04.08.21,введены изменения: 31.10.25,без рецепта,,
1198,"ФУРАЦИЛИН
(Furatsilin)",nitrofural,"Таблетки для приготовления раствора для местного и наружного применения 20 мг N10 (упаковки контурные ячейковые, упаковки контурные безъячейковые)",Россия,"Тамхимфармпрепараты, АО","Препараты, применяемые в дерматологии. Антисептики и дезинфицирующие средства. Производные нитрофурана",D08AF01,DV/X 05827/02/19,18.02.19 30.05.25,,Без рецепта,,
1199,"ФУРОСЕМИД
(Furosemid)",furosemide*,Раствор 1% для инъекций 2 мл N10 (ампулы),Грузия,"Биофарм, АО",Диуретическое средство,C03CA01,DV/X 02400/11/16,04.11.16 11.10.21,,по рецепту,,
1200,"ФУРОСЕМИД
(Furosemid)",furosemide*,Раствор для внутривенного и внутримышечного введения 10 мг/мл 2 мл N10 (ампулы),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Диуретическое средство,С03СА01,DV/X 03759/11/17,21.11.17 21.12.22,,по рецепту,,
1201,"ФУРОСЕМИД
(Furosemid)",furosemide*,Таблетки 40 мг N50 (5x10) (блистеры),Украина,"ГНЦЛС ОЗ, ООО произведено: Фармекс Груп, ООО",Диуретическое средство,С03СА01,DV/X 01889/07/16,08.07.16 16.07.21,,по рецепту,,
1202,"ФУРОСЕМИД
(Furosemidum)",furosemide*,Таблетки 40 мг N50 (5x10) (упаковки контурные ячейковые),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Диуретическое средство,С03СА01,DV/X 03527/09/17,08.09.17 16.08.22,,по рецепту,,
1203,"ФУРОСЕМИД
(Furosemidum)",furosemide*,"Раствор для инъекций 10 мг/мл 2 мл N10, N10 (1х10) (ампулы)",Украина,"ГНЦЛС, ОЗ, ООО произведено: Здоровье, ФК, ООО",Диуретическое средство,C03CA01,DV/X 01890/07/16,08.07.16 15.06.21,,по рецепту,,
1204,"ФУРОСЕМИД
(Furosemidum)",furosemide*,"Раствор для внутривенного и внутримышечного введения 10 мг/мл 2 мл N10 (1х10), N10 (2х5) (ампулы)",Россия,"Дальхимфарм, ОАО",Диуретическое средство,C03CA01,DV/X 03453/08/17,04.08.17 30.09.22,,по рецепту,,
1205,"ФУРОСЕМИД
(Furosemidum)",furosemide*,Таблетки 40 мг N50 (5x10) (упаковки контурные ячейковые),Россия,"Ирбитский ХФЗ, ОАО",Диуретическое средство,C03CA01,DV/X 03320/07/17,07.07.17 21.12.22,,по рецепту,,
1206,"ХЕЛИ-СТОП
(Heli-Stop)",vismuthi tripotassium dicitrate,"Таблетки, покрытые пленочной оболочкой 120 мг N112 (8х14) (упаковки контурные-ячейковые)",Россия,"АВВА РУС, АО",Противоязвенное средство,A02BX05,DV/X 10117/09/22,20/09/22,введены изменения: 15.02.25,по рецепту,,
1207,"ХЕПИЛОР®
(Xepilor)",comb.drug (hexetidine; choline salicylate 80%; chlorobutanol hemihydrate),Раствор для ротовой полости 100 мл (флаконы),Украина,"Фармак, АО",Противовоспалительное средство местного действия,R02AA20,DV/X 02509/12/16,20.12.16 23.12.21,введены изменения: 22.06.23,без рецепта,,
1208,"ХЕПИЛОР®
(Xepilor)",comb.drug (hexetidine; choline salicylate; chlorobutanol),"Спрей для ротовой полости 20 мл, 50 мл (флаконы с насос-дозатором и распылителем или распылителем адаптером)",Украина,"Фармак, АО",Средство для лечения заболеваний ЛОР-органов,R02АА20,DV/X 04017/02/18,01.02.18 19.07.24,,без рецепта,,
1209,"ХИПОТЕЛ®
(Xipotel)",telmisartan,"Таблетки 40 мг, 80 мг N28 (2x14), N56 (4x14), N84 (6x14) (блистеры)",Украина,"Гледфарм Лтд, ООО произведено: Кусум Фарм, ООО",Антигипертензивное средство (антагонист рецепторов ангиотензина II),,DV/X 09437/11/21,30/11/21,,по рецепту,,
1210,"ХЛОРОФИЛЛИПТ
(Chlorophylliptum)",chlorophyllipt*,Раствор в масле 20 мг/мл 20 мл ( флаконы),Украина,"ГНЦЛС ОЗ, ООО произведено: Здоровье, ФК, ООО",Антисептическое средство,D08AX,DV/X 01769/06/16,07.06.16 15.06.21,,без рецепта,,
1211,"ХЛОРОФИЛЛИПТ
(Chlorophylliptum)",chlorophyllipt*,Раствор спиртовой 10 мг/мл 100 мл (флаконы),Украина,"ГНЦЛС, ОЗ, ООО произведено: Здоровье, ФК, ООО",Антисептическое средство,D08AX,DV/X 01768/06/16,07.06.16 15.06.21,,без рецепта,,
1212,"ХЛОРОФИЛЛИПТ
(Chlorophylliptum)",folia eucaluptus*,Спрей 15 мл N1 (стеклянные или пластмассовые контейнеры с распылителем),Украина,"Укрфармэкспорт, ООО произведено: Здоровье, ФК, ООО",Антисептическое средство,D08AX,DV/X 02594/02/17,03.02.17 14.02.22,введены изменения: 28.08.23,без рецепта,,
1213,"ХЛОРПИРАМИНА ГИДРОХЛОРИД
(Chloropyraminum hydrochloride)",chloropyramine,Раствор для инъекций 20 мг/мл 1 мл N5 (1х5) (ампулы),Украина,"Здоровье, фармацевтическая компания, ООО",Противоаллергическое средство,R06AC03,DV/X 02793/03/17,24.03.17 29.03.22,,по рецепту,,
1214,"ХОЛЕНЗИМ
(Cholenzymum)",comb.drug (bile dry; pancreas dried)*,"Таблетки покрытые оболочкой N10 (1x10), N50 (5x10) (упаковки контурные ячейковые)",Беларусь,"Белмедпрепараты, РУП",Желчегонное средство,А05АА,DV/X 04259/04/18,11.04.18 28.06.24,,без рецепта,,
1215,"ХОНДРОГАРД®
(Hondrogard)",chondroitin sulfate,"Раствор для внутримышечного и внутрисуставного введения 100 мг/мл 1 мл, 2 мл N10 (2x5), 2 мл N25 (5х5) (ампулы)",Россия,"Сотекс ФармФирма, ЗАО",Стимулятор трофики тканей и регенерации,M01AX25,DV/X 03702/11/17,15.11.17 20.09.22,,по рецепту,,
1216,"ХОНДРОЗАМИН
(Chondrosamin)",comb.drug.(glucosamine; chondroitin sulfate),Капсулы N60 (6x10) (упаковки контурные ячейковые),Беларусь,"Минскинтеркапс, УП",Стимулятор трафики тканей и регенерации,M09AX,DV/X 03956/01/18,15.01.18 28.06.24,,без рецепта,,
1217,"ХОНДРОИТИН
(Xondroitin)",chondroitin sulfate*,"Раствор для внутримышечного введения 100 мг/мл 1 мл, 2 мл N10 (ампулы)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Стимулятор трофики тканей и регенерации,M01AX25,DV/X 09362/11/21,05/11/21,,по рецепту,,
1218,"ХОНДРОИТИН-АКОС
(Xondroitin-AKOS)",chondroitin sulfate*,Мазь для наружного применения 5 % 30 г (тубы),Россия,"Синтез, ПАО","Костно-мышечная система, противовоспалительный и противоревматический препарат, нестероидный противовоспалительный и противоревматический препарат, прочий нестероидный противовоспалительный и противоревматический препарат, хондроитина сульфат",М01АХ25,DV/X 05272/11/18,02.11.18 28.03.25,,без рецепта,,
1219,"ХОНДРОКСИД®
(Chondroxidum)",chondroitine sulfate*,Мазь для наружного применения 5% 30 г (тубы),Россия,"Нижфарм, АО",Стимулятор трофики тканей и регенерации,M01AX25,DV/X 03756/11/17,11.17.21 30.11.22,,без рецепта,,
1220,"ХОНДРОКСИД®
(Chondroxidum)",chondroitine sulfate*,Гель для наружного применения 5% 30 г (тубы),Россия,"Нижфарм, АО",Стимулятор трофики тканей и регенерации,M01AX25,DV/X 04226/03/18,28.03.18 21.12.22,введены изменения: 31.10.25,без рецепта,,
1221,"ХОНДРОЛОН®
(Xondrolon)",chondroitine sulfate*,Лиофилизат для приготовления раствора для внутримышечного введения 100 мг N10 (ампулы),Россия,"Микроген, НПО, АО филиал г.Томск",Стимулятор трофики тканей и регенерации,М01АХ25,DV/X 01973/07/16/1,22.07.16 10.09.21,,по рецепту,,
1222,"ХОНДРОЛОН®
(Xondrolon)",chondroitine sulfate*,Лиофилизат для приготовления раствора для внутримышечного введения 100 мг N10 (ампулы),Россия,"Микроген, НПО, АО филиал г.Уфа",Стимулятор трофики тканей и регенерации,М01АХ25,DV/X 01973/07/16,22.07.16 10.09.21,,по рецепту,,
1223,"ХУМОДАР® К25 100Р
(Humodar С25 100R)",biphasic insulin injection,"Суспензия для инъекций 100 МЕ/мл 3 мл N5 (1x5) (картриджи), 100 МЕ/мл 10 мл N1 (флаконы)",Украина,"Индар, ЧАО",Пищеварительный тракт и обмен веществ. Препарат для лечения сахарного диабета. Инсулин для инъекций и его аналог средней продолжительности или длительного действия в комбинации с инсулинами короткого действия. Инсулин человеческий,А10АD01,DV/X 05499/12/18,24.12.18 19.05.25,,по рецепту,,
1224,"ХУМОДАР®Б 100 Р
(Humodar B 100R)",insulin human,"Суспензия для инъекций 100 МЕ/мл 3 мл N5 (1x5) (картриджи), 100 МЕ/мл 10 мл N1 (флаконы)",Украина,"Индар, ЧАО",Пищеварительный тракт и обмен веществ. Препарат для лечения сахарного диабета. Инсулин средней продолжительности действия и его аналог для инъекционного введения. Инсулин человеческий,А10АС01,DV/X 05500/12/18,24.12.18 19.05.25,,по рецепту,,
1225,"ХУМОДАР®Р 100 Р
(Humodar R 100R)",insulin human,"Раствор для инъекций 100 МЕ/мл 3 мл N5 (1x5) (картриджи), 100 МЕ/мл 10 мл N1 (флаконы)",Украина,"Индар, ЧАО",Пищеварительный тракт и обмен веществ. Препарат для лечения сахарного диабета. Инсулин короткого действия и его аналог для инъекционного введения. Инсулин человеческий,А10АС01,DV/X 05501/12/18,24.12.18 19.05.25,,по рецепту,,
1226,"ЦЕЛИКСЕЛ
(Seliksel)",paclitaxel,"Концентрат для приготовления раствора для инфузий 6 мг/мл 5 мл, 16,7 мл, 20 мл, 23,3 мл, 25 мл, 35 мл, 41,7 мл, 43,4 мл, 46 мл, 50 мл, 60 мл N1 (флаконы)",Россия,"Фармасинтез-Норд, АО",Противоопухолевое средство,L01CD01,DV/X 10132/09/22,30/09/22,,по рецепту,,
1227,"Цералин
(Seralin)",citicoline,Раствор для внутривенного и внутримышечного введения 1000 мг/4 мл 4 мл №5 (ампулы),Беларусь,"Лекфарм, СООО","Нервная система. Психоаналептики. Психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты. Другие психостимуляторы и ноотропные препараты. Цитиколин.",N06ВХ06,DV/X 05969/03/19,29.03.19 19.09.25,,по рецепту,,
1228,"ЦЕРЕБРОЛИЗАТ
(SEREBROLIZAT)",,"Раствор для инъекций 1 мл №10 (2x5), 5 мл №5 (1x5) (ампулы)",Беларусь,"Белмедпрепараты, РУП","Нервная система. Психоаналептики. Психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты. Другие психостимуляторы и ноотропные препараты.",N06BX,DV/X 06248/05/19,24.05.19 27.08.25,,по рецепту,,
1229,"ЦЕРЕБРОЛИЗАТ
(Serebrolizat)",comb.drug (peptid complex*),Раствор для внутримышечного введения 1 мл N10 (ампулы),Россия,"Микроген, НПО, АО филиал г.Уфа",Ноотропное средство,N06BX,DV/X 02332/10/16,21.10.16 10.09.21,,по рецепту,,
1230,"ЦЕРЕПРО
(Serepro)",choline alfoscerate,"Раствор для внутривенного и внутримышечного введения 250 мг/мл 4 мл N3, N5, N6, N10 (ампулы)",Россия,"Верофарм, АО произведено: Верофарм, ООО пос.Вольгинский",Ноотропное средство,N07AX02,DV/X 09117/07/21,16/07/21,,по рецепту,,
1231,"ЦЕРЕТОН®
(Sereton)",choline alfoscerate,"Раствор для внутривенного и внутримышечного введения 250 мг/мл 4 мл, N3, N5, N6, N10 (ампулы)",Россия,"Сотекс ФармФирма, ЗАО",Ноотропное средство,N07AX02,DV/X 01261/01/16,15.01.16 19.11.20,введены изменения: 19.07.24,по рецепту,,
1232,"ЦЕРЕТОН®
(Sereton)",choline alfoscerate,"Капсулы 400 мг N14 (1x14), N28 (2x14), N42 (3x14), N56 (4x14) (упаковки контурные ячейковые)",Россия,"Сотекс, Фарм.фирма, ЗАО произведено: Артлайф, ООО Россия. Выпуск серии: Сотекс,Фарм.фирма, ЗАО",Ноотропное средство,N07AX02,DV/X 05388/11/18,27.11.18 19.05.25,,по рецепту,,
1233,"ЦЕФ III - SANTO
(Sef III Santo)",ceftriaxone,"Порошок для приготовления раствора для инъекций 500 мг, 1.0 г N1, N5, N10 (флаконы)",Казахстан,"Химфарм, АО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 09484/11/21,30/11/21,,по рецепту,,
1234,"ЦЕФ III SANTO ПЛЮС
(SEF III SANTO Plyus)",ceftriaxone,Порошок для приготовления раствора для внутримышечных инъекций 1.0 г N1 (флаконы) в комплекте с растворителем 1% раствор лидокаина гидрохлорида 3.5 мл N1 (ампулы),Казахстан,"Химфарм, АО",Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 10242/11/22,14/11/22,,по рецепту,,
1235,"ЦЕФ IV SANTO
(Sef IV - SANTO)",cefepime,"Порошок для приготовления раствора для инъекций 0,5 г, 1,0 г N1 (флаконы)",Казахстан,"Химфарм, АО",Антибиотик (гр.цефалоспоринов),J01DE01,DV/X 09712/03/22,29/03/22,,по рецепту,,
1236,"ЦЕФАЗОЛИН- АКОС
(Sefazolin- AKOC)",cefazolin,Порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г N50 (флаконы),Россия,"Синтез, ПАО","Противомикробный препарат для системного использования. Антибактериальный препарат для системного использования. Бета-лактамный антибактериальный препарат прочий, цефалоспорин первого поколения, цефазолин",J01DВ04,DV/X 07214/12/19,13.12.19 01.03.25,,по рецепту,,
1237,"ЦЕФАЗОЛИН- БЕЛМЕД
(Cefazolinum)",cefazolin,"Порошок для приготовления раствора для инъекций 500 мг N1, N20, N40 (флаконы); N1, N5 (флаконы в комплекте с растворителем (вода для инъекций) 2 мл); 
N1,5 (ампулы)",Беларусь,"Белмедпрепараты, РУП",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 02499/12/16,04.11.16 13.04.22,,по рецепту,,
1238,"ЦЕФАЗОЛИН- БЕЛМЕД
(Cefazolinum)",cefazolin,"Порошок для приготовления раствора для инъекций 1000 мг N1, N20, N40 (флаконы); N1, N5 (флаконы в комплекте с растворителем (вода для инъекций) 5 мл); N1, N5 (ампулы)",Беларусь,"Белмедпрепараты, РУП",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 02500/12/16,02.12.16 13.04.22,,по рецепту,,
1239,"ЦЕФАЗОЛИН -КМП
(Cefazolinum)",cefazolin,"Порошок для раствора для инъекций 1,0 г N10 (флаконы)",Украина,"Киевмедпрепарат, ПАО",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 02329/10/16,21.10.16 04.08.21,введены изменения: 11.08.23,по рецепту,,
1240,"ЦЕФАЗОЛИН
(Cefazolinum)",cefazolin,"Порошок для приготовления раствора для инъекций 1,0 г N1, N10, N270 (флаконы)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 01860/06/16,17.06.16 05.11.21,введены изменения: 28.06.24,по рецепту,,
1241,"ЦЕФАЗОЛИН
(Cefazolinum)",cefazolin,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N50 (флаконы)",Россия,"Красфарма, ПАО",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 02019/08/16,05.08.16 04.08.21,,по рецепту,,
1242,"ЦЕФАЗОЛИН
(Cefazolinum)",cefazolin,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N5 (5x1), N10 (10x1), N50 (50x1) (флаконы)",Россия,"Промомед Рус, ООО произведено: Биохимик, АО",Антибиотик (гр.цефалоспоринов),J01DB04,DV/X 03813/12/17,05.12.17 28.06.24,,по рецепту,,
1243,"ЦЕФАЗОЛИН
(Sefazolinum)",cefazolin,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1,0 г N1, N50 (1x50) (флаконы)",Россия,"Биосинтез, ПАО",Антибиотик (гр.цефалоспоринов),J01DA04,DV/X 03455/08/17,04.08.17 30.08.22,,по рецепту,,
1244,"ЦЕФАЗОЛИН-БХФЗ
(Cefazolinum)",cefazolin,Порошок для приготовления раствора для инъекций по 1000 мг (флаконы),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антибиотик (гр.цефалоспоринов),J01DВ04,DV/X 02977/05/17,05.05.17 19.07.22,введены изменения: 30.05.25,по рецепту,,
1245,"ЦЕФЕКОН® Д
(Cefecon D)",paracetamol,"Суппозитории ректальные (для детей) 50 мг, 100 мг, 250 мг N10 (2x5) (упаковки контурные ячейковые)",Россия,"Нижфарм, АО",Анальгетик-антипиретик,N02BE01,DV/X 02525/12/16,20.12.16 23.12.21,,по рецепту,,
1246,"ЦЕФЕПИМ
(Sefepim)",cefepime,"Порошок для приготовления раствора для инъекций 1,0 г N1, N10, N50, N270 (флаконы)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибиотик (гр.цефалоспоринов),J01DE01,DV/X 09710/03/22,29/03/22,введены изменения: 29.06.22,по рецепту,,
