№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
3850,"ЦИНКОРОТ 25
(Zinkorot 25)",zinc orotate dihydrate,"Таблетки 25 мг N20 (2х10), N50 (5х10), N100 (5x20) (блистеры)",Германия,"Worwag Pharma GmbH & Co. KG, Германия произведено: Mauermann-Arzneimittel KG",Препарат цинка,A12CB,DV/X/TO 09780/03/22,29/03/22,,без рецепта,,,
1981,"МАГНЕРОТ®
(Magnerot)",magnesium orotate*,Таблетки 500 мг N20 (2х10); N50 (5х10) (блистеры),Германия,"Wörwag Pharma GmbH & Co. KG, Германия произведено: Mauermann–Arzneimittel KG",Минеральный препарат и микроэлемент (препарат магния),A12CC09,DV/X 02890/04/17,21.04.17 27.04.22,,по рецепту,,,
12,"B12 ANKERMANN®
(B12 Ankermann®)",cyanocobalamin,"Таблетки, покрытые пленочной оболочкой 1000 мкг N50 (2x25), N100 (4x25) (блистеры)",Словацкая Республика,"Wörwag Pharma GmbH & Co. KG, Германия произведено: Saneca Pharmaceuticals a.s","Антианемический препарат, витамин B12 (цианокобаламин и его аналог), цианокобаламин",В03ВА01,DV/X/TO 10944/05/25,19/05/25,,без рецепта,,,
58,"milgamma® N
(milgamma® N)",thiamine; pyridoxine; cyanocobalamin,"Раствор для инъекций 2 мл N5 (1x5), N10 (2x5) (ампулы стеклянные)",Германия,"Wörwag Pharma GmbH & Co. KG, Германия, Solupharm Pharmazeutische Erzeugnisse GmbH, Германия",Препараты для лечения нейропатии. Тиамин в комбинации,N07XB52,DV/X/TO 10978/06/25,16/06/25,,по рецепту,,,
3108,"СОЛИГАММА®
(Soligamma)",colecalciferol,"Таблетки, покрытые пленочной оболочкой 10000 МЕ N10 (1x10), N20 (2x10), N30 (3x10), N40 (4x10) (блистеры)",Словакия,"Worwag Pharma GmbH & Co. KG, Германия, произведено : Saneca Pharmaceuticals a.s.",Кальциево-фосфорного обмена регулятор,A11CC05,DV/X 10674/06/24,28/06/24,,по рецепту,,,
340,"АМАРОСАЛ
(Amarosal)",comb.drug (achillea millefolium L.herba; marrubium vulgare L.herba; Melissa officinalis L.folium; foeniculum vulgare mill. fructus),"Сироп 1,5 г/10 г (флаконы в комплекте с мерным стаканчиком)",Польша,"Wroclaw Herb Factory ""Herbapol"" S.A.","Средство, усиливающее аппетит",,DV/X 09230/08/21,04/08/21,,по рецепту,,,
880,"ГЕМОРОЛЬ®
(Gemorol)",comb.drug (matricariae; belladonnae; cytisi; hippocastani; tormentillae; millefolii; benzocaine)*,Суппозитории ректальные N12 (2х6) (блистеры),Польша,"Wroclaw Herb Factory ""Herbapol"" S.A.","Средство, применяемое в колопроктологии",C05AD03,DV/X 01835/06/16,17.06.16 25.05.21,,без рецепта,,,
1511,"КАСТАГНУС®
(Kastagnus)",agni casti fructus extractum siccum*,Таблетки 45 мг N30 (3х10) (блистеры),Польша,"Wroclaw Herb Factory ""Herbapol"" S.A.","Средство, преимущественно применяемое в акушерстве и гинекологии",G03X,DV/X 08584/02/21,02/02/21,,без рецепта,,,
2776,"РАДИРЕКС®
(Radireks)",rhei radix pulveratum,Таблетки N10 (1х10) (блистеры),Польша,"Wroclaw Herb Factory ""Herbapol"" S.A.",Слабительное средство,A06AB,DV/X 03341/07/17,21.07.17 29.06.22,,по рецепту,,,
1262,"ЗИФОДИН®
(Zifodin)",deproteinized calf blood hemoderivate*,Раствор для инъекций 200 мг 5 мл N5 (1x5) (ампулы),Китай,"Wuhan Humanwell Pharmaceutical Co., Ltd",Прочий гематологический препарат,В06АВ,DV/X 06011/03/19,29.03.19 17.01.25,,по рецепту,,,
2741,"ПРОПОФОЛ®
(Propofol)",propofol,Эмульсия для в/в инъекций 200 мг/20 мл 20 мл N5 (ампулы),Китай,Xi'An Libang Pharmaceutical Co. Ltd,"Нервная система, анестетик, общий анестетик. Другой общий анестетик. Пропофол",N01AX10,DV/X 05293/11/18,02.11.18 15.02.25,,по рецепту,,,
1293,"ЗУПА
(Zupa)",comb.drug (hyssopus cuspidatus; adiantum venustum; glycyrrhiza glabra; foeniculum vulgare; apium graveolens; trigonella foenum – graecum; cymbopogon distans; rosa rugosa; urtica cannabina),Гранулы для приготовления раствора для приема внутрь 12 г N6 (пакетики),Китай,Xinjiang Uygur Pharmaceutical Co. Ltd,Средство для устранения симптомов ОРЗ,R05Х,DV/X 03993/02/18,01.02.18 19.07.24,,без рецепта,,,
2242,"МУНЗИЧ
(Munzich)",comb.drug (cichorium glandulosum; apium graveolens; dracocephalum moldavica; nigella glandulifera; foeniculum vulgare; matricaria chamomilla; glycyrrhiza glabra; gymbopogon caesius; ocimum basilicum; althaea rosea; pimpinella anisum; peganum harmala),Гранулы для приготовления раствора для приема внутрь 12 г N6 (пакетики),Китай,Xinjiang Uygur Pharmaceutical Co. Ltd,Адаптоген и общетонизирующее средство,A13A,DV/X 03994/02/18,01.02.18 27.08.24,,без рецепта,,,
1289,"ЗУКАМУ
(Zukamu)","comb.drug (kaempferia galanga; mentha haplocalux; glycyrrhiza glabra; ziziphus juijuba; rheum officinale; althea rosea, cordia dichotoma; marticaria chamomilla nymphae candida)*","Гранулы для приготовления раствора для приема внутрь 12 г N6, N9 (пакеты)",Китай,"Xinjiang Uygur Pharmaceutical Co., Ltd",Средство для устранения симптомов гриппа и ОРЗ,,DV/X 01448/03/16,04.03.16 21.01.21,,без рецепта,,,
3206,"СУРУНДЖАН
(Surundjan)","comb.drug (cassia; colchicum, terminalia; operculina; amygdalus; crocus; convolvulus)*","Капсулы N24 (2х12), N36 (3х12), N48 (4х12) (блистеры)",Китай,"Xinjiang Uygur Pharmaceutical Co., Ltd",Противоревматическое средство,N07XX,DV/X 01232/01/16,15.01.16 21.01.21,,по рецепту,,,
2167,"МИНЕРАЛЬФ®
(Mineralf)",alfacalcidol,"Таблетки 0,25 мкг N30 (3x10); 0,5 мкг N20 (2x10) (упаковки контурные ячейковые)",Китай,"Yaopharma Co., Ltd",Витамин,A11CC03,DV/X 03081/06/17,06.06.17 19.07.22,,по рецепту,,,
109,"Y’s TNA PERI INJ
(Y’s TNA Peri inj)","comb.drug (dextrose, alanine, arginine, aspartic acid, glutamic acid, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine, calcium chloride,….)","Эмульсия для инфузий 360 мл, 480 мл, 960 мл (трехкамерные пластиковые контейнеры с портами): камера А раствор глюкозы 221,25 мл, 295 мл, 590 мл; камера В раствор аминокислот с электролитами 75 мл, 100 мл, 200 мл камера С раствор жировой эмульсии 63,75 мл,",Корея,Y's medi Co. Ltd,"Препарат для парентерального питания, аминокислоты",B05AA05,DV/X/TO 10695/06/24,28/06/24,введены изменения: 15.02.25,по рецепту,,,
2459,"НЬЮФАКТАН
(Nyufaktan)",легочный сурфактант крупного рогатого скота,Порошок лиофилизированный для приготовления суспензии для интратрехеального введения 120 мг N1 (флаконы),Корея,Yuhan Corporation,Сурфактант,R07AA,DV/X 01455/03/16,04.03.16 15.06.21,,по рецепту,,,
2872,"РИНОФЛУИМУЦИЛ®
(Rinofluimutsil)",comb.drug (acetylcysteine; tuaminoheptane sulphate),Спрей назальный 10 мл (флаконы),Италия,Zambon S.p.A.,Средство для лечения заболеваний ЛОР органов,R01AB08,DV/X 02261/10/16,04.10.16 30.11.21,,по рецепту,,,
2223,"МОНУРАЛ®
(Monural)",fosfomycin,"Гранулы для приготовления раствора для приёма внутрь 8 г N1, N2 (пакетики)",Швейцария,"Zambon S.p.A., Италия произведено: Zambon Switzerland Ltd",Антибиотик (уроантисептик),J01XX01,DV/X 02259/10/16,04.10.16 30.11.21,,по рецепту,,,
3629,"ФЛУИМУЦИЛ®
(Fluimutsil)",acetylcysteine,Таблетки шипучие 600 мг N10 (5x2) (блистеры),Швейцария,"Zambon S.p.A., Италия произведено: Zambon Switzerland Ltd",Отхаркивающее средство,R05CB01,DV/X 02260/10/16,04.10.16 30.11.21,,без рецепта,,,
1378,"ИНФУЦЕТ
(Infutset)",paracetamol,Раствор для инфузий 10 мг/мл по 100 мл (флаконы),Индия,"Zandra Life Sciences Pvt. Ltd., Индия произведено: Amanta Healthcare Ltd",Анальгетик-антипиретик,N02BE01,DV/X 08845/04/21,09/04/21,,по рецепту,,,
1392,"ИРИНОТЕКАНА ГИДРОХЛОРИД
(Irinotekan Gidrohlorid)",irinotecan hydrochloride,Раствор для инъекций 40 мг/2 мл (20 мг/мл) (флаконы),Индия,"Zandra Life Sciences Pvt. Ltd., Индия произведено: Gland Pharma Limited",Противоопухолевое средство,,DV/X/TO 10592/01/24,30/01/24,,по рецепту,,,
1315,"ИЗОНА
(Izona)",isotretinoin,"Капсулы мягкие желатиновые 10 мг, 20 мг N30 (3х10) (блистеры)",Индия,"Zandra Life Sciences Pvt. Ltd., Индия произведено: Softgel Healthcare Pvt. Ltd",Средство для лечения угрей,D10BA01,DV/X 10234/11/22,14/11/22,,по рецепту,,,
2809,"РЕЛАБ
(Relab)",human albumin,"Раствор для инфузий 20% 50 мл, 100 мл (флаконы)",Индия,"Zandra Lifesciences Pvt. Ltd., Индия произведено: Reliance Life Sciences Pvt. Ltd",Плазмозаменитель,В05АА01,DV/X 01600/04/16,15.04.16 15.06.21,,по рецепту,,,
3892,"ЭВЛОН ДЕНЬ
(Evlon)",comb.drug (valeriana officinalis; mentha piperita; melissa officinalis),Капсулы твердые желатиновые N30 (3х10) (блистеры),Индия,"Zdoroviya Med Pte Ltd, Сингапур произведено: Coral Laboratories Limited",Седативное средство,N05CM,DV/X 10408/05/23,18/05/23,,без рецепта,,,
3893,"ЭВЛОН НОЧЬ
(Evlon)",comb.drug (valeriana officinalis; mentha piperita; melissa officinalis),Капсулы N30 (3х10) (блистеры),Индия,"Zdoroviya Med Pte Ltd, Сингапур произведено: Coral Laboratories Limited",Седативное средство,N05CM,DV/X 10409/05/23,18/05/23,,без рецепта,,,
1476,"КАРГИНАТ
(Karginat)",comb.drug (L-carnitin; L-arginine hydrochloride),Раствора для инфузий 100 мл (флаконы),Китай,"Zdoroviya Med Pte Ltd, Сингапур произведено: Guizhou Tiandi Pharmaceutical Co. Ltd",Средство для коррекции метаболических процессов,B05XB,DV/X 10281/11/22,30/11/22,,по рецепту,,,
2034,"Мевизон®
(Mevizon®)",thymopentin,"Лиофилизированный порошок для приготовления раствора для инъекций 1 мг, 10 мг №5 (флаконы)",Китай,"Zdoroviya Med Pte Ltd, Сингапур произведено: Jiangsu Kingsley Pharmaceutical Co., Ltd.,",Противоопухолевые препараты и иммуномодуляторы. Иммуностимуляторы. Другие иммуностимуляторы. Тимопентин.,L03AX09,DV/X 11032/08/25,13.08.25,,по рецепту,,,
968,"ГРЕНОПЛЕКС
(Grenopleks)",comb.drug (gabapentin; methylcobalamin),"Таблетки, покрытые пленочной оболочкой 300 мг+500 мкг N10 (1х10) (блистеры)",Индия,"Zdoroviya Med Pte. Ltd, Cингапур произведено: Coral Laboratories Ltd",Противоэпилептическое средство,N03A,DV/X 10277/11/22,30/11/22,,по рецепту,,,
2003,"МАКСИКЕМ
(Maksikem)",meloxicam,"Раствор для внутримышечного введения 15 мг/1,5 мл, 1,5 мл N5 (флаконы)",Индия,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Appasamy Ocular Devices (P) Ltd",Нестероидное противовоспалительное средство,M01AC06,DV/X 10213/10/22,28/10/22,,по рецепту,,,
2943,"РУБЕККОН
(Rubeccon)",comb.drug (tolperisone; lidocaine),Раствор для инъекций 1 мл N5 (ампулы),Индия,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Appasamy Ocular Devices (P) LTD",Миорелаксант центрального действия,M03BX04,DV/X 10346/12/22,21/12/22,,по рецепту,,,
731,"ВЕЛВИН
(Velvin)",enoxaparin,"Раствор для инъекций 4000 антиХа МЕ/0,4 мл 0,4 мл, 6000 антиХа МЕ/0,6 мл 0,6 мл N2 (1х2), N10 (2х5) (предварительно наполненные шприцы)",Китай,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Cisen Pharmaceutical Co., Ltd",Антикоагулянт,B01AB05,DV/X 09601/02/22,14/02/22,,по рецепту,,,
3612,"ФИНОТ
(FINOT)",clopidogrel,"Таблетки, покрытые пленочной оболочкой 75 мг N30 (3х10) (блистеры)",Индия,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Coral Laboratories Ltd",Антиагрегантное средство,B01AC04,DV/X 09757/03/22,29/03/22,,по рецепту,,,
3800,"ЦЕФОБАКТ
(Sefobakt)",comb.drug (cefoperazonе; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг+500 мг (флаконы),Индия,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Nootan Pharmaceuticals",Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 09395/11/21,05/11/21,,по рецепту,,,
2802,"РЕДОФФ
(Redoff)",L-ornithine L-aspartate,Концентрат для приготовления раствора для инфузий 5 г/10 мл по 10 мл N5 (ампулы),Индия,"Zdoroviya Med Pte. Ltd, Сингапур произведено: Shukra Pharmaceuticals Ltd",Гепатопротектор,A05BA,DV/X 09067/06/21,15/06/21,,по рецепту,,,
288,"АЛКЕНАЗЕР
(Alkenazer)",entecavir,"Таблетки, покрытые пленочной оболочкой 0,5 мг N30 (3х10) (блистеры)",Индия,"Zdoroviya Med Pte. Ltd., Сингапур произведено: Coral Laboratories Ltd",Противовирусное средство,J05AF10,DV/X 10106/08/22,30/08/22,,по рецепту,,,
965,"ГРАСЕТ
(Graset)",granisetron,"Раствор для инъекций 1 мг/мл, 5 мл N5 (ампулы)",Индия,Zee Laboratories Ltd,Противорвотное средство,A04AA02,DV/X 08921/04/21,23/04/21,,по рецепту,,,
2330,"НЕУФОЛ™-C
(Neufol-S)",iron Sucrose*,Раствор для инъекций 100 мг/5 мл 5 мл N5 (ампулы),Индия,Zee Laboratories Ltd,Антианемическое средство,B03AC02,DV/X 03509/09/17,08.09.17 16.08.22,,по рецепту,,,
2791,"РБ-КЕЙР
(RB-Keyr)",rabeprazole sodium,Порошок лиофилизированный для приготовления раствора для инъекций 20 мг N1 (флаконы),Индия,Zee Laboratories Ltd,Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC04,DV/X 08920/04/21,23/04/21,,по рецепту,,,
2790,"РАТОКС-С
(Ratoks-S)",comb.drug (ceftriaxone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг + 500 мг N1 (флакон),Индия,Zen Pharma (P) Ltd,Антибиотик (гр.цефалоспоринов),J01DD63,DV/X 08472/11/20,19/11/20,введены изменения: 22.02.25,по рецепту,,,
481,"АТОРВАСТАТИН ЗЕНТИВА
(Atorvastatin Zentiva)",atorvastatin,"Таблетки, покрытые пленочной оболочкой 10 мг N30 (2х15), 20 мг N30 (2х15), 40 мг N30 (3х10) (блистеры)",Чехия,Zentiva k.s,Гиполипидемическое средство (ингибитор ГМГ-КоА редуктазы),C10AA05,DV/X 10589/12/23,27/12/23,,по рецепту,,,
1192,"ДУОСТАНС
(Duostans)",comb.drug (perindopril; amlodipine),"Таблетки 4 мг/5 мг, 4 мг/10 мг, 8 мг/5 мг N30 (2х15) (упаковки контурные ячейковые)",Чешская Республика,Zentiva k.s,Гипотензивное комбинированное средство,C09BB04,DV/X 10669/05/24,31/05/24,,по рецепту,,,
3270,"ТЕЛЗАП® АМЛО
(Telzap Amlo)",comb.drug (telmisartan; amlodipine),"Таблетки 10 мг/40 мг, 5 мг/80 мг, 10 мг/80 мг N28 (7х4) (блистеры)",Чешская Республика,Zentiva k.s,Антигипертензивное средство,C09DB04,DV/X 09509/12/21,23/12/21,,по рецепту,,,
3419,"ТРИАПРЕСС
(Triapress)",comb.drug (perindopril; Indapamide; amlodipine),"Таблетки 4 мг/1,25 мг/5 мг; 4 мг/1,25 мг/10 мг; 8 мг/2,5 мг/5 мг; 8 мг/2,5 мг/10 мг N30 (2х15) (упаковки контурные ячейковые)",Чешская Республика,Zentiva k.s,Антигипертензивное средство. Ингибитор АПФ в комбинации с другими препаратами,C09BX01,DV/X 10706/07/24,19/07/24,,по рецепту,,,
2652,"ПЕРСЕН® ДЕНЬ
(Persen® Den/ Persen® Day)",comb.drug (valerian dry hydroalcoholic extract melissa leaf dry extract),"Таблетки, покрытые оболочкой N40 (4x10) (блистеры)",Болгария,"Zentiva k.s. Чешская Республика, произведено: Sopharma AD",Психотропное средство. Снотворное и седативное средство. Другое снотворное и седативное средство,N05CM,DV/X 10820/12/24,20/12/24,,без рецепта,,,
261,"АЛВОВИЗАН
(Alvovisan)",dienogest,"Таблетки, покрытые пленочной оболочкой 2 мг N28 (2x14) (блистеры)",Германия,"Zentiva k.s.Чехия произведено: 
Haupt Pharma Munster Gmb",Прогестаген,G03DB08,DV/X 10614/05/24,13/05/24,,по рецепту,,,
2838,"РЕТОКС
(Retoks)",comb.drug (piperacillin; tazobactam),"Порошок для приготовления раствора для инъекций 4,5 г N1 (флаконы)",Китай,"Zeus Pharma Ltd, Великобритания произведено: Reyong Pharmaceutical Co., Ltd",Антибиотик (гр.пенициллинов),J01CR05,DV/X 00102/02/15,27.02.15 29.12.20,,по рецепту,,,
3343,"ТИПЛАТ
(Tiplat)",comb.drug (ticarcillin; clavulanic acid),"Порошок для приготовления раствора для инъекций 3,0 г+0,2 г N1 (флаконы)",Китай,"Zeus Pharma Ltd, Великобритания произведено: Reyoung Pharmaceutical Co. Ltd",Антибиотик (гр.пенициллинов),J01CR03,DV/X 00233/04/15,13.04.15 29.12.20,,по рецепту,,,
1221,"Женавит®
(Jenavit®)",progesterone,Капсулы 100 мг №30 (5x6) (упаковки контурные ячейковые),Китай,"Zhejiang Asen Pharmaceutical Co., Ltd",Мочеполовая система и половые гормоны. Половые гормоны и модуляторы функции половых органов. Производные прегн-4-ена.Прогестерон.,G03DA04,DV/X 07109/11/19,22.11.19 28.11.25,,по рецепту,,,
409,"АНТИКСАН®
(Antiksan®)",rosuvastatin,"Таблетки покрытые оболочкой 5 мг, 10 мг N28 (4x7), 20 мг N30 (5x6) (блистеры)",Китай,"Zhejiang Jingxin Pharmaceutical Co., Ltd","Гиполипидемические препараты, ингибиторы редуктазы ГМГ-КоА",С10АА07,DV/X 10959/06/25,16/06/25,,по рецепту,,,
2313,"НЕОМАРИН®
(Neomarin®)",glutathione*,Порошок лиофилизированный для приготовления раствора для инъекций 1800 мг (стеклянные флаконы),Китай,"Zhensen International Pharmaceutical Co, Ltd., Гонконг произведено: Yaopharma Co, Ltd",Другое лечебное средство. Антидот,V03AB32,DV/X 10791/11/24,18/11/24,,по рецепту,,,
685,"ВАЗОЛАЙФ®
(VAZOLIFE)",panax notoginseng saponins,Таблетки диспергируемые 50 мг N24 (2х14) (упаковки контурные-ячейковые),Китай,"Zhensen International Pharmaceutical Co. Ltd, Гонконг произведено: Yunnan Phytopharmaceutical Co., Ltd",Прочее лекарственное средство,V03AX,DV/X 10121/09/22,20/09/22,,без рецепта,,,
3965,"ЭНДИКОМ
(Endikom)",choriogonadotropin alpha,Лиофилизат для приготовления раствора для инъекций 6500 МЕ N1 (флаконы стеклянные) в комплекте с растворителем вода для инъекций 1 мл N1 (ампулы),Китай,"Zhensen International Pharmaceutical Co. Ltd., Гонконг произведено: Livzon (Group) Pharmaceutical Factory Ltd",Мочеполовая система и половой гормон. Половой гормон и модулятор функции половых органов. Гонадотропин,G03GA08,DV/X 10930/05/25,19/05/25,,по рецепту,,,
2303,"НЕЙТРОНАЗА®
(Neytronaza)",neutral proteinase,Таблетки кишечнорастворимые 10 мг N18 (2x9) (блистеры),Китай,"Zhensen International Pharmaceutical Co. Ltd., Гонконг произведено: Reyoung Pharmaceutical Co. Ltd",Протеолитический фермент,R05CA,DV/X 10237/11/22,14/11/22,,по рецепту,,,
3547,"ФЕМИСТРОН®
(FEMISTRON®)",,Крем для интравагинального применения 14 г (тубы в комплекте с дозатором),Китай,"Zhensen International Pharmaceutical Co. Ltd., Гонконг произведено: Xinjiang Nuziline Bio-Pharmaceutical Co. Ltd",Мочеполовая система и половые гормоны. Половые гормоны и модуляторы функции половых органов. Природные и полусинтетические эстрогены,G03CА,DV/X 05404/11/18,27.11.18 01.07.25,,по рецепту,,,
2243,"МУПИРОБАН®
(MUPIROBAN®)",mupirocin,"Мазь для наружного применения 2 % 5 г, 10 г, 15 г (тубы)",Китай,"Zhensen International Pharmaceutical Co. Ltd., Гонконг, произведено: Hubei Humanwell Chengtian Pharmaceutical Co. Ltd","Препараты, применяемые в дерматологии. Антибиотики и противомикробные препараты, применяемые в дерматологии. Антибиотики для наружного применения. Другие антибиотики для наружного применения. Мупироцин.",D06AX09,DV/X 04334/05/18,11.05.18 15.10.25,,по рецепту,,,
1616,"КЛОСАН®
(Klosan)",tenofovir disoproxil fumarate,"Таблетки, покрытые пленочной оболочкой 300 мг N30 (флаконы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Chia Tai Tianqing Pharmaceutical Group Co, Ltd",Противовирусное средство (средство против ВИЧ-инфекции),J05AF07,DV/X 08650/03/21,01/03/21,введены изменения: 20.09.22,по рецепту,,,
1863,"ЛИВЕРИН®
(Liverin)",oxymatrine,"Раствор для иньекций 0,6 г/2 мл 2 мл N7 (ампулы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Chia Tai Tianqing Pharmaceutical Group Co., Ltd",Гепатопротектор,А05ВА,DV/X 01500/03/16,18.03.16 25.05.21,введены изменения: 20.09.22,по рецепту,,,
1864,"ЛИВЕРИН®
(Liverin)",oxymatrine*,"Капсулы 0,1 г N24 (2х12) (упаковки контурные ячейковые)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Chia Tai Tianqing Pharmaceutical Group Co., Ltd",Гепатопротектор,A05BA,DV/X 02034/08/16,05.08.16 11.10.21,введены изменения: 20.09.22,по рецепту,,,
3914,"ЭКСАН®
(Eksan)",diammonium glycyrrhizinate,Капсулы кишечнорастворимые N24 (2х12) (упаковки контурные ячейковые),Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Chia Tai Tianqing Pharmaceutical Group Co., Ltd",Гепатопротектор,A05BA,DV/X 02629/02/17,03.02.17 29.03.22,,по рецепту,,,
1828,"ЛЕМАПИН®
(Lemapin)",levamlodipine,"Таблетки 2,5 мг N30 (флаконы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: CSPC Ouyi Pharmaceutical Co., Ltd",Селективный блокатор кальциевых каналов с преимущественным влиянием на сосуды. Дигидропиридиновое производное. Амлодипин,С08СА01,DV/X 10819/12/24,20/12/24,,по рецепту,,,
3329,"ТИГОЛОРС®
(TIGOLORS)",ticagrelor,"Таблетки, покрытые пленочной оболочкой 90 мг N14 (1х14) (упаковки контурные-ячейковые)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: CSPC Ouyi Pharmaceutical Co., Ltd",Антиагрегантное средство,B01AC24,DV/X 10048/08/22,16/08/22,,по рецепту,,,
2118,"МЕТОСТИЛ®
(Metostil)",comb.drug (metronidazole; clotrimazole; chlorhexidine acetate),Суппозитории вагинальные N7 (1x7) (блистеры) в комплекте с напальчниками N7,Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Hubei Humanwell Chengtian Pharmaceutical Co., Ltd","Средство, преимущественно применяемое в акушерстве и гинекологии",G01AF,DV/X 02386/11/16,04.11.16 30.11.21,введены изменения: 20.09.22,по рецепту,,,
2312,"НЕОДЕРМ®
(Neoderm)",comb.drug (ketoconazole; clobetasol propionate; neomycin),"Крем для наружного применения 10 г, 15 г (тубы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Jiangsu Chenpai Bond Pharmaceutical Co., Ltd",Противовоспалительное средство местного действия,D01A,DV/X 03876/12/17,19.12.17 30.11.22,,по рецепту,,,
1576,"КЛАЗИН®
(Klazin)",policresulen,Суппозитории вагинальные 90 мг N6 (1x6) (блистеры) в комплекте с напальчниками N6,Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Jiangsu Farever Pharmaceutical Co., Ltd","Средство, преимущественно применяемое в акушерстве и гинекологии",G01AX03,DV/X 02388/11/16,04.11.16 30.11.21,введены изменения: 20.09.22,по рецепту,,,
335,"АМАНГРИ®
(Amangri)",loxoprofen,Капсулы 60 мг N20 (2х10) (блистеры),Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Kinhoo Pharmaceutical Co, Ltd",Нестероидное противовоспалительное средство,M02AA31,DV/X 09135/07/21,16/07/21,введены изменения: 20.09.22,по рецепту,,,
270,"АЛЕМОНА®
(Alemona)",urofollitropin,"Порошок лиофилизированный для приготовления раствора для инъекций 75 МЕ N1 (флаконы) в комплекте с растворителем - 0,9% раствор натрия хлорида 2 мл N1 (ампулы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Livzon (Group) Pharmaceutical Factory","Гормон гипофиза, гипоталамуса и его аналог",G03GA04,DV/X 08540/02/21,02/02/21,введены изменения: 03.03.23,по рецепту,,,
552,"БЕНУЛАП®
(Benulap)",menotropin,"Лиофилизат для приготовления раствора для внутримышечного введения 75 МЕ/ флакон N1 (флаконы), в комплекте с растворителем-0,9%раствор натрия хлорида N1(ампулы)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Livzon (Group) Pharmaceutical Factory","Гормон гипофиза, гипоталамуса и их аналог",G03GA04,DV/X 09130/07/21,16/07/21,введены изменения: 27.04.23,по рецепту,,,
914,"ГЕРПЕС-СТОП®
(Gerpes-Stop)",penciclovir,Крем для наружного применения 1% 10 г (тубы),Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Livzon (Group) Pharmaceutical Factory",Противовирусное средство,D06BB06,DV/X 02824/03/17,24.03.17 29.03.22,введены изменения: 16.03.23,по рецепту,,,
936,"ГИПОВИН®
(Gipovin)",valaciclovir,"Таблетки, покрытые пленочной оболочкой 300 мг N6 (1x6) (блистеры)",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Livzon (Group) Pharmaceutical Factory",Противовирусное средство,J05AB11,DV/X 02825/03/17,24.03.17 29.03.22,введены изменения: 03.03.23,по рецепту,,,
3453,"ТРОМБОФРИН®
(Trombofrin®)",enoxaparin sodium,"Раствор для инъкций 4000 анти-Ха МЕ/0,4 мл, 6000 анти-Ха МЕ/0,6 мл N10 (1x10) в однодозовых предварительно заполненных шприцах с системой защиты иглы",Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Nanjing King-Friend Biochemical Pharmaceitical Co., Ltd",Антикоагулянт. Гепарин,B01AB05,DV/X 10805/11/24,29/11/24,,по рецепту,,,
1220,"ЖЕМЧУЖНЫЙ КАЛЬЦИЙ®
(Jemchujniy kalsiy)","comb.drug (calcium carbonate*, Ferrum*, Zinc*, cuprum*, Magnesium*, Asparagine, Tryptophane, Serine, Glutamine*, Propline*, Glycine*, Alanine*, cysteine*, Valine*, Methionine*, Isoleucine*, Leicine*, Tirozine*, Phenylalanin, Lisine, Histidine, Arginine)",Капсулы N30 (флаконы),Китай,"Zhensen International Pharmaceutical Co., Ltd, Гонконг произведено: Ningbo Dachang Pharmaceutical Co., Ltd",Регулятор кальциево-фосфорного обмена,А12А,DV/X 02224/10/16,04.10.16 30.11.21,введены изменения: 20.09.22,по рецепту,,,
