№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
2605,"ФУРАЦИЛИН
(Furatsilin)",nitrofural,"Таблетки 0,02 г N10 (1x10), N20 (2x10), N30 (3x10), N50 (5x10), N100 (10x10) (упаковки контурные ячейковые)",Узбекистан,"Navbahor Sanoat, OOO","Препарат, применяемый в дермотологии. Антисептическое и дезинфицирующее средство. Производное нитрофурана. Нитрофурал",D08AF01,DV/M 02657/07/19,23.07.19 19.05.25,,без рецепта
2606,"ФУРАЦИЛИН
(Furatsilin)",nitrofural,"Таблетки 0,02 г N10, N100 (10x10) (упаковки контурные безъячейковые)",Узбекистан,"Zunnur Servis Farm, OOO",Антисептическое средство,D08АF01,DV/M 02401/01/19,15.01.19 16.06.25,,без рецепта
2607,"ФУРАЦИЛИН
(FURATSILIN)",nitrofural,"Таблетки для приготовления раствора для наружного применения 0,02 г №10 (1x10), №20 (2х10), №30 (3х10), №50 (5х10), №60 (6х10), №100 (10х10) (упаковки контурные ячейковые), №20, №30, №50, №60, №100 (ПЭТ флаконы)",Узбекистан,"Samo, OOO","Препараты, применяемые в дерматологии. Антисептики и дезинфицирующие средства. Производные нитрофурана. Нитрофурал",D08AF01,DV/M 05343/11/25,28.11.25,,по рецепту
2608,"ФУРАЦИЛИН-АК
(FURATSILIN-AK)",nitrofural,"Таблетки для наружного применения 0,02 г №10, №100 (упаковки контурные ячейковые), №50 (флаконы)",Узбекистан,"As-Kam Pharma, OOO",Антисептическое средство,D08АF01,DV/M 03751/03/21,01.03.21,введены изменения: 31.10.25,без рецепта
2609,"ФУРОСЕМИД
(Furosemid)",furosemide,"Раствор для инъекций 1% 2 мл N5 (1x5), N10 (2x5) (ампулы стеклянние)",Узбекистан,"Jurabek Laboratories, СП ООО","Сердечно-сосудистая система. Диуретик. Высокоэффективное мочегонное средство. Сульфониламид, простой",С03СА01,DV/M 02648/07/19,23.07.19 28.03.25,,по рецепту
2610,"ФУРОСЕМИД
(Furosemid)",furosemide,"Раствор для инъекций 10 мг/мл 2 мл N5 (1х5), N10 (1х10, 2х5) (ампулы стеклянные), N5, N10, N20, N30, N40, N50 (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, ООО",Диуретическое средство,C03CA01,DV/M 03744/03/21,01/03/21,,по рецепту
2611,"ФУРОСЕМИД
(Furosemid)",furosemide,"Раствор для инъекций 1% 2 мл N5, N5 (1х5), N10, N10 (2х5; 1х10) (ампулы)",Узбекистан,"O'zkimyofarm, AO им. С.К. Исламбекова",Диуретическое средство,C03CA01,DV/M 01147/11/16,04.11.16 14.02.22,,по рецепту
2612,"ФУРОСЕМИД
(Furosemid)",furosemide,"Раствор для инъекций 1% 2 мл N5, N5 (1х5), N10, N10 (2х5;1х10), N25 (5х5) (ампулы)",Узбекистан,"Radiks, OOO",Диуретическое средство,C03CA01,DV/M 03948/11/21,05/11/21,введены изменения: 18.04.23,по рецепту
2613,"ФУРОСЕМИД
(Furosemid)",furosemide,"Раствор для инъекций 10 мг/мл 2 мл №5 (1x5), №10 (2x5), №25 (5x5) (ампулы стеклянные)",Узбекистан,"Uzgermed Pharm, СП ООО",Сердечно-сосудистая система. Диуретики. Сульфонамиды. Фуросемид,С03СА01,DV/M 03255/06/20,12.06.20 13.08.25,,по рецепту
2614,"ФУРОСЕМИД-SAMO
(FUROSEMID-SAMO)",furosemide,"Таблетки 40 мг №10 (1x10), №20 (2х10), №30 (3х10), №50 (5х10) (упаковки контурные ячейковые), №20, №50 (флаконы)",Узбекистан,"Samo, OOO",Сердечно-сосудистая система. Диуретики. «Петлевые» диуретики. Сульфонамиды. Фуросемид,С03СА01,DV/M 03401/07/20,28.07.20 31.10.25,,по рецепту
2615,"ФУРОСЕР
(Furoser)",furosemide,"Раствор для иньекций 10 мг/мл, 2 мл, N5, N10, N50 (ампулы)",Узбекистан,"Serene Healthcare, ИП ООО",Диуретическое средство,C03CA01,DV/M 04286/10/22,28/10/22,введены изменения: 18.05.23,по рецепту
2616,"ХАРТЛИВИТ В
(HartliVit B)",comb.drug (thiamine hydrochloride; riboflavin sodium phosphate; pyridoxine hydrochloride; nicotinamide),"Раствор для инъекций 2 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Витамины,А11DВ,DV/M 04253/09/22,20/09/22,,по рецепту
2617,"ХЕПКЛИН
(Hepclin)",comb.drug (sofosbufir; velpatasvir),"Таблетки, покрытые оболочкой 400 мг/100 мг N14 (7х2) (упаковки контурные ячейковые)",Узбекистан,"China-Uzbekistan Medicine Technical Park, ИП ООО",Противовирусное средство,JO5AP55,DV/M 04233/08/22,30/08/22,,по рецепту
2618,"ХИЛОЦИТ
(Xilostit)",comb.drug (ferrous (III)-hydroxide polymaltose; folic acid),"Капсулы N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Англия",Антианемическое средство,B03AB05,DV/M 03632/11/20,19/11/20,,по рецепту
2619,"ХЛОПИКС®
(Xlopiks)",simethicone*,Эмульсия для приёма внутрь 100 мг/мл 30 мл (флаконы),Узбекистан,"Nobel Pharmsanoat, ИП ООО",Средство против метеоризма,A02DA,DV/M 03987/11/21,30/11/21,введены изменения: 23.12.21,без рецепта
2620,"ХЛОПИЛИОН
(Xlopilion)",chloropyramine,"Раствор для инъекций 20 мг/мл 1 мл №5 (1x5), №10 (2x5) (ампулы cтеклянные)",Узбекистан,"ROMPHARM NS, СП ООО",Дыхательная система. Антигистаминные средства системного действия. Замещенные этилендиамины. Хлоропирамин,R06AC03,DV/M 05198/09/25,19.09.25,,по рецепту
2621,"ХЛОРГЕКСИДИНА БИГЛЮКОНАТ
(Chlorhexidine bigluconate)",chlorhexidine,"Раствор 0,05% 40 мл, 50 мл, 90 мл, 100 мл (флаконы)",Узбекистан,"Pharmacom Medicine, OOO",Антисептическое средство,D08AC02,DV/M 03795/04/21,09/04/21,,по рецепту
2622,"ХЛОРОМИН
(Xloromin)",chloropyramine,"Раствор для инъекций 20 мг/мл 1 мл №5 (1x5), №10 (2x5) (ампулы cтеклянные)",Узбекистан,"ROMPHARM NS, СП ООО",Дыхательная система. Антигистаминные средства системного действия. Замещенные этилендиамины. Хлоропирамин,R06AC03,DV/M 05197/09/25,19.09.25,,по рецепту
2623,"ХЛОРОПИРАМИНА ГИДРОХЛОРИД
(Xloropiramin Gidroxlorid)",chloropyramine,"Раствор для инъекций 20 мг/мл 1 мл N5, N5 (1х5), N10, N10 (2х5;1х10) (ампулы)",Узбекистан,"Dentafill Plyus, ООО",Антиаллергическое средство,R06AC03,DV/M 04092/04/22,27/04/22,,по рецепту
2624,"ХЛОРОПИРИДОН-NS
(Xloropiridon-NS)",chloropyramine,"Раствор для инъекций 20 мг/мл 1 мл №5 (1x5), №10 (2x5) (ампулы cтеклянные)",Узбекистан,"ROMPHARM NS, СП ООО",Дыхательная система. Антигистаминные средства системного действия. Замещенные этилендиамины. Хлоропирамин,R06AC03,DV/M 05051/07/25,25.07.25,,по рецепту
2625,"ХЛОРОФИЛЛИПТ DV
(Chlorophylliptum DV)",eucaliptus*,Спрей 15 мл (контейнеры с распылителем),Узбекистан,"Divapharma, ООО",Антисептическое средство,D08AX,DV/M 03717/02/21,12/02/21,,по рецепту
2626,"ХЛОРОФИЛЛИПТ-PCM
(Chlorophylliptum)",eucaliptus*,"Раствор спиртовой 1% 40 мл, 50 мл, 90 мл, 100 мл (флаконы)",Узбекистан,"Pharmacom Medicine, OOO",Антисептическое средство,D08AX,DV/M 03813/05/21,25/05/21,,по рецепту
2627,"ХЛОРОФИЛЛИПТ-ZNF
(Xlorofillipt-ZNF)",folia eucaliptus,"Раствор спиртовой 1% 40 мл, 50 мл, 90 мл, 100 мл (флаконы)",Узбекистан,"Ziyo Nur Farm, ЧП",Антисептическое средство,D06BX,DV/M 04001/12/21,23/12/21,,по рецепту
2628,"ХОЛИНАТАЛ
(Xolinatal)",choline alfoscerate,"Раствор для инъекций 1000 мг/4 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO",Ноотропное средство,A02BC01,DV/M 04172/06/22,29/06/22,введены изменения: 14.10.22,по рецепту
2629,"ХОЛИНЕКС
(Xolineks)",choline alfoscerate,Раствор для инъекций 250 мг/мл 4 мл №3 (1x3) (ампулы cтеклянные),Узбекистан,"ROMPHARM NS, СП ООО",Нервная система. Другие препараты для лечения заболеваний нервной системы. Парасимпатомиметики. Другие парасимпатомиметики. Холина альфосцерат,N07AX02,DV/M 05202/09/25,19.09.25,,по рецепту
2630,"ХОЛИНЦЕРАТ
(Xolinsetrat)",cholina alfoscerate,Раствор для инъекций 1000 мг/4 мл 4 мл N5 (1х5) (ампулы),Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Англия",Ноотропное средство,N07AX02,DV/M 04524/07/23,28/07/23,,по рецепту
2631,"ХОЛИОН
(Xolion)",choline alfoscerate,Раствор для инъекций 250 мг/мл 4 мл №3 (1x3) (ампулы cтеклянные),Узбекистан,"ROMPHARM NS, СП ООО",Нервная система. Другие препараты для лечения заболеваний нервной системы. Парасимпатомиметики. Другие парасимпатомиметики. Холина альфосцерат,N07AX02,DV/M 05200/09/25,19.09.25,,по рецепту
2632,"ХОЛОСАС
(Cholosas)",fructus rosae*,"Жидкость 40 г, 50 г, 90 г, 100 г, 120 г (флаконы, бутылки)",Узбекистан,"Lafz, OOО",Желчегонное средство,,DV/M 00979/08/16,19.08.16 05.11.21,,без рецепта
2633,"ХОЛОСАС
(Cholosasum)",fructus rosae*,"Жидкость 70 г, 90 г, 120 г, 140 г (флаконы)",Узбекистан,"Ziyo Nur Farm, ЧП",Желчегонное средство,,DV/M 04213/08/22,16/08/22,,без рецепта
2634,"ХОЛОСАС
(Xolosas)",fructus rosae*,"Жидкость 100 г, 140 г (флаконы )",Узбекистан,"Tandem Pharm, OOO",Желчегонное средство,A05AX,DV/M 03884/09/21,10/09/21,,без рецепта
2635,"ХОЛЦЕР
(Xolser)",choline alfoscerate,Раствор для инъекций 250 мг/мл 4 мл №3 (1x3) (ампулы cтеклянные),Узбекистан,"ROMPHARM NS, СП ООО",Нервная система. Другие препараты для лечения заболеваний нервной системы. Парасимпатомиметики. Другие парасимпатомиметики. Холина альфосцерат,N07AX02,DV/M 05257/09/25,30.09.25,,по рецепту
2636,"ХОНГИЛЬДОН
(Xongildon)",chondroitin sulfate*,Раствор для внутримышечного введения 200 мг/2 мл 2 мл №10 (2х5) (ампулы cтеклянные),Узбекистан,"ROMPHARM NS, СП ООО",Противовоспалительные и противоревматические средства. Нестероидные противовоспалительные и противоревматические средства. Прочие нестероидные противовоспалительные и противоревматические средства. Хондроитин сульфат,М01АХ25,DV/M 05187/09/25,19.09.25,,по рецепту
2637,"ХОНДРОИТИН СУЛЬФАТ
(Xondroitin Sulfat)",chondroitin sulfate*,"Раствор для инъекций 100 мг/мл 2 мл N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO",Стимулятор трофики тканей и регенерации,М01АХ25,DV/M 04643/05/24,24/05/24,введены изменения: 07.03.25,по рецепту
2638,"ХОНДРОИТИНА СУЛЬФАТ
(Xondroitin Sulfat)",chondroitin sulfate*,"Раствор для инъекций 100 мг/мл 1 мл, 2 мл N5, N10, N20, N40 (ампулы)",Узбекистан,"Reka Med Farm, CП ООО",Стимулятор трофики тканей и регенерации,M01AX25,DV/M 04106/05/22,13/05/22,,по рецепту
2639,"ХОНДРОКСИН
(Хоndroksin)",comb.drug (dimethyl sulfoxide; chondroitini sulfas),Мазь 25 г (тубы),Узбекистан,"Dentafill Plyus, ООО",Костно-мышечная система. Противовоспалительный и противоревматический препарат. Нестероидный противовоспалительный и противоревматический препарат. Другое нестероидные противовоспалительные и противоревматические препарат,M01AX25,DV/M 02089/04/18,27.04.18 05.04.25,,без рецепта
2640,"ЦЕБРОГЕН
(Sebrogen)",comb.drug (peptid complex),"Раствор для инъекций 5 мл N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Zeus Pharma Ltd, Великобритания",Ноотропное средство,N06BX,DV/M 04338/12/22,21/12/22,,по рецепту
2641,"ЦЕБРОЛАН
(Sebrolan)",comb.drug (peptid complex),"Раствор для инъекций 5 мл N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Remedy Group, СП ООО",Ноотропное средство,N06BX,DV/M 04340/12/22,21/12/22,введены изменения: 03.03.23,по рецепту
2642,"ЦЕБРОЛИЗЕО
(Sebrolizeo)",comb.drug (peptid complex),"Раствор для инъекций 5 мл, 10 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO",Ноотропное средство,N06BX,DV/M 04400/04/23,27/04/23,введены изменения: 28.07.23,по рецепту
2643,"ЦЕБРОМЕД
(Sebromed)",comb.drug (peptid complex),"Раствор для инъекций 5 мл N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Izida Pharma Ltd, Великобритания",Ноотропное средство,N06BX,DV/M 04339/12/22,21/12/22,,по рецепту
2644,"ЦЕБРОЦИТ-ASP
(Sebrotsit-ASP)",comb.drug (peptid complex),"Раствор для инъекций 5 мл, 10 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO для Citco Chemicals Ltd., Англия",Ноотропное средство,N06BX,DV/M 04064/03/22,29/03/22,введены изменения: 20.09.22,по рецепту
2645,"ЦЕЛЕСТОНОРМ
(Selestonorm)",comb.drug (betamethasone; salicylic acid*),Мазь для наружного применения 25 г (тубы),Узбекистан,"Dentafill Plyus, ООО",Кортикостероид для применения в дерматологии. Кортикостероид высокоактивный (группа III),D07AC01,DV/M 04720/10/24,18/10/24,,по рецепту
2646,"ЦЕМПАР®
(Sempar)",comb.drug (paracetamol; Ibuprofen),"Суспензия 50 мл, 100 мл (флаконы)",Узбекистан,"Merrymed Farm, ООО",Нестероидное противовоспалительное средство,M01AB55,DV/M 01792/09/17,08.09.17 21.12.22,,по рецепту
2647,"ЦЕ-НООТРОП ММГ
(SE-Nootrop MMG)","tiazotic acid, piracetam","Раствор для инъекций 4 мл N5, N5 (1x5), N10 (2x5), N25 (5x5) (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Ноотропное средство,N06BX,DV/M 04320/11/22,30.11.22,введены изменения: 16.07.25,по рецепту
2648,"ЦЕ-НООТРОП
(SE-Nootrop)",comb.drug (tiazotic acid; piracetam),"Раствор для инъекций 5 мл, 10 мл N10 (2х5) (ампулы)",Узбекистан,"Merrymed Farm, ООО","Психоаналептик. Психостимулятор, средство, применяемое при синдроме дефицита внимания с гиперактивностью и ноотропный препарат. Другой психостимулятор и ноотропный препарат",N06BХ,DV/M 04874/03/25,07/03/25,,по рецепту
2649,"ЦЕРАКСИДОЛ
(Seraksidol)",ethylmethylhydroxipyridine succinate,"Раствор для инъекций 50 мг/мл 2 мл, 5 мл N5, N5 (1х5), N10, N10 (2х5;1х10) (ампулы)",Узбекистан,"Mediofarm, ООО",Антиоксидантное средство,N07XX,DV/M 04094/04/22,27/04/22,,по рецепту
2650,"ЦЕРАКСИДОЛ
(Seraksidol)",ethylmethylhydroxypyridine succinate,"Раствор для иньекций 50 мг/мл 2 мл, 5 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Mediofarm, ООО",Антиоксидантное средство,N07XX,DV/M 04079/04/22,13/04/22,введены изменения: 24.11.23,по рецепту
2651,"ЦЕРАКСИДОЛ
(Seraksidol)",ethylmethylhydroxipyridine succinate*,Раствор для инъекций 50 мг/мл 5 мл №5 (1х5) (ампулы),Узбекистан,"Mediofarm, ООО",Антиоксидантное средство,N07XX,DV/M 04079/04/22,13.04.22,введены изменения: 15.10.25,по рецепту
2652,"ЦЕРАКСОЛИН
(Seraksolin)",citicoline,Раствор для инъекций 1000 мг/4 мл 4 мл №5 (1x5) (ампулы),Узбекистан,"Mediofarm, OOO",Психоаналептики. Другие психостимуляторы и ноотропные препараты. Цитиколин,N06BX06,DV/M 02265/08/18,30.08.18 25.07.25,введены изменения: 19.09.25,по рецепту
2653,"ЦЕРЕБРАЛУС-ASP
(Serebralus-ASP)",peptid complex*,"Раствор для инъекций 5 мл N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO","Нервная система. Психоаналептики. Психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты. Другие психостимуляторы и ноотропные препараты",N06BX,DV/M 05035/07/25,25.07.25,введены изменения: 28.11.25,по рецепту
2654,"ЦЕРЕБРО
(Serebro)",peptid complex*,"Раствор для инъекций 5 мл №5 (1x5), №10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO","Нервная система. Психоаналептики. Психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты. Другие психостимуляторы и ноотропные препараты",N06BX,DV/M 05036/07/25,25.07.25,,по рецепту
2655,"ЦЕРЕБРОЛЮКС
(SEREBROLYUKS)",peptid complex*,"Раствор для инъекций 5 мл N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Remedy Group, СП ООО",Ноотропное средство,N06BX,DV/M 04385/04/23,27.04.23,введены изменения: 28.11.25,по рецепту
2656,"ЦЕРЕБРОНЕКС
(Serebroneks)",peptid complex*,Раствор для инъекций 5 мл №5 (1x5) (ампулы),Узбекистан,"Remedy Group, СП ООО","Нервная система, психоаналептики, психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты, другие психостимуляторы и ноотропные препараты",N06BX,DV/M 05117/08/25,13.08.25,введены изменения: 19.09.25,по рецепту
2657,"ЦЕРЕРА
(Serera)",thiotriazoline*; piracetam,"Раствор для инъекций 5 мл, №5, №10, №5 (1х5), №10 (2х5), №10 (1х10) (ампулы)",Узбекистан,"Bayan Medical, ООО",Антианемическое средство,N06BX,DV/M 04586/01/24,30.01.24,введены изменения: 25.07.25,по рецепту
2658,"ЦЕРНИФОЛ-ASP
(SERNIFOL-ASP)",peptid complex*,"Раствор для инъекций 5 мл №5 (1x5), №10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO","Нервная система. Психоаналептики. Психостимуляторы, средства, применяемые при синдроме дефицита внимания с гиперактивностью, и ноотропные препараты. Другие психостимуляторы и ноотропные препараты",N06BX,DV/M 04980/07/25,01.07.25,введены изменения: 30.09.25,по рецепту
2659,"ЦЕРУМАКС
(SERUMAKS)",metoclopramide,"Таблетки 0,01 г №10 (1x10), №20 (2х10), №30 (3х10), №50 (5х10), №100 (10х10) (упаковки контурные ячейковые), №10, №20, №50 (ПЭТ флаконы)",Узбекистан,"Samo, OOO","Препараты, влияющие на пищеварительный тракт и обмен веществ. Препараты для лечения функциональных расстройств ЖКТ. Стимуляторы моторики ЖКТ. Стимуляторы моторики ЖКТ. Метоклопрамид",А03FА01,DV/M 00168/06/15,26.06.15 15.10.25,,по рецепту
2660,"ЦЕРУМАКС
(Serumaks)",metoclopramide,"Раствор для инъекций 5 мг/мл 2 мл №5 (1x5), №10 (2x5), №25 (5x5) (ампулы стеклянные)",Узбекистан,"Uzgermed Pharm, СП ООО",Пищеварительный тракт и обмен веществ. Препараты для лечения функциональных нарушений желудочно-кишечного тракта. Стимуляторы моторики желудочно- кишечного тракта. Метоклопрамид,A03FA01,DV/M 03254/06/20,12.06.20 19.09.25,,по рецепту
2661,"ЦЕФАЗОЛИН НАТРИЯ
(Sefazolin natriy)",cefazoline,"Порошок для приготовления инъекционного раствора 0,5 г ;1,0 г (флаконы); N5, N10, N40, N50, N100 (флаконы)/",Узбекистан,"Dentafill Plyus, ООО",Антибиотик (гр.цефалоспоринов),J01DA04,DV/M 02257/08/18,24.08.18 12.03.24,,по рецепту
2662,"ЦЕФАЗОЛИН
(Sefazolin)",cefazolin,"Порошок для приготовления инъекционного раствора 1,0 г N1, N50, N300 (6х50) (флаконы)",Узбекистан,"Radiks, OOO",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Цефалоспорин первого поколения,J01DB04,DV/M 02209/07/18,24.07.18 19.05.25,,по рецепту
2663,"ЦЕФАЗОЛИН-SANITA PHARMA
(Sefazolin-Sanita Pharma)",cefazolin,"Порошок для приготовления инъекционного раствора 1,0 г N1, N5, N6, N10, N20, N25, N50, N100 (флаконы)",Узбекистан,"Sanita Pharma, ИП ООО",Антибиотик (гр.цефалоспоринов),J01DB04,DV/M 01649/07/17,07.07.17 30.08.22,,по рецепту
2664,"ЦЕФЕПИМ
(Sefepim)",cefepime,"Порошок для приготовления инъекционного раствора 1 г N1, N50, N60 (флаконы)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DE01,DV/M 03786/04/21,09/04/21,,по рецепту
2665,"ЦЕФЕПИМ-SANITA
(SEFEPIM-SANITA)",сefepime; arginine,"Порошок для приготовления инъекционного раствора 1 г №1, №10, №50, №100 (флаконы)",Узбекистан,"ATM Sanita Pharma, ИП OOO","Противомикробные препараты системного действия, Антибактериальные препараты системного действия, Другие бета-лактамные антибактериальные препараты, Цефалоспорины четвертого поколения",J01DЕ01,DV/M 00039/02/15,27.02.15 25.07.25,,по рецепту
2666,"ЦЕФИБАК
(SEFIBAK)",сefixime,Таблетки 400 мг №10 (1x10) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО",антибактериальные препараты системного действия. Другие бета-лактамные антибактериальные препараты. Цефалоспорины третьего поколения. Цефиксим.,J01DD08,DV/M 02949/12/19,27.12.19 01.07.25,,по рецепту
2667,"ЦЕФИКСИМ ДТ
(Sefiksim DT)",cefixime,"Таблетки 200 мг, 400 мг N10, N10 (1х10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DD08,DV/M 04446/05/23,18/05/23,,по рецепту
2668,"ЦЕФИКСИМ
(Sefiksim)",cefixime,"Порошок для приготовления суспензии 100 мг/2 г N10(1х10), N20 (1х20), N30 (1х30) (саше-пакеты)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DD08,DV/M 04302/11/22,14/11/22,,по рецепту
2669,"ЦЕФОБЕСТ
(Sefobest)",comb.drug (ceftriaxone; sulbactam),"Порошок для приготовления инъекционного раствора 1,5 г (1,0 г + 0,5 г) N1, N10 (флаконы)",Узбекистан,"ATM Sanita Pharma, ИП OOO",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Другий бета-лактамный антибактериальный препарат. Цефалоспорин третьего поколения. Цефтриаксон в комбинации со средствами,J01DD54,DV/M 04899/03/25,28/03/25,,по рецепту
2670,"ЦЕФОПЕРАЗОН+СУЛЬБАКТАМ
(Sefoperazon+Sulbaktam)",comb.drug (cefoperazone; sulbactam),"Порошок для приготовления раствора для инъекций 1,0 г N1, N50 (1х50), N100 (10x10) (флаконы)",Узбекистан,"Dentafill Plyus, ООО",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Другий бета-лактамный антибактериальный препарат. Цефалоспорин третьего поколения. Цефоперазон в комбинации со средствами,J01DD62,DV/M 02835/11/19,01.11.19 19.05.25,,по рецепту
2671,"ЦЕФОПЕРАЗОН+СУЛЬБАКТАМ
(Sefoperazon+Sulbaktam)",comb.drug (cefoperazone; sulbactam),"Порошок для приготовления инъекционного раствора 1,0 г+0,5 г N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.цефалоспоринов),J01DD62,DV/M 03981/11/21,30/11/21,введены изменения: 10.02.23,по рецепту
2672,"ЦЕФОПРОЗЕФ®
(Sefoprozef)",cefprozil,"Таблетки, покрытые оболочкой 500 мг N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Антибиотик (гр.цефалоспоринов),J01DС10,DV/M 03743/03/21,01/03/21,,по рецепту
2673,"ЦЕФОТАКСИМ
(Sefotaksim)",cefotaxime,"Порошок для приготовления раствора для инъекций 0,5 г, 1,0 г N1, N5, N6, N10, N20, N25, N40, N50, N100 (флаконы)",Узбекистан,"Dentafill Plyus, ООО",Антибиотик (гр.цефалоспоринов),J01DA10,DV/M 02258/08/18,24.08.18 13.05.24,,по рецепту
2674,"ЦЕФОТАКСИМ
(Sefotaksim)",cefotaxime,"Порошок для приготовления инъекционного раствора 1,0 г N1, N1 (1х1), N10 (1х10) (флаконы); Групповая упаковка: N50, N300 (6х50) (флаконы)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DA10,DV/M 02223/07/18,30.07.18 24.05.24,,по рецепту
2675,"ЦЕФТАЗИДИМ
(Seftazidim)",ceftazidime,"Порошок для приготовления инъекционного раствора 1,0 г N1, N1 (1х1), N50 (50х1), N300 (6х50) (флаконы)",Узбекистан,"Radiks, OOO",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Цефалоспорины третьего поколения. Цефтазидим,J01DD02,DV/M 02748/08/19,30.08.19 16.06.25,,по рецепту
2676,"ЦЕФТРИАКСОН НАТРИЯ
(Seftriakson natriy)",ceftriaxone,"Порошок для приготовления раствора для инъекций 0,5 г N1 (1х1), N5 (5x1), N6 (6х1), N10 (10x1), N20 (20x1), N25 (25x1), N40 (40x1), N50 (50x1),N100 (100x1),1,0 г N1 (1х1), N5 (5x1), N6 (6х1), N10 (10x1), N20 (20x1), N25 (25x1), N40 (40x1), N50 (50x1), N10",Узбекистан,"Dentafill Plyus, ООО",Антибиотик (гр.цефалоспоринов),J01DA13,DV/M 02259/08/18,24.08.18 12.03.24,,по рецепту
2677,"ЦЕФТРИАКСОН
(Seftriakson)",ceftriaxone,"Порошок для приготовления инъекционного раствора 1,0 г N1, N1 (1х1), N10 (1х10) (флаконы); Групповая упаковка: N50, N300 (6х50) (флаконы)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DD04,DV/M 02210/07/18,24.07.18 24.05.24,,по рецепту
2678,"ЦЕФТРИАКСОН+СУЛЬБАКТАМ
(Seftriaxon+Sulbaktam)",comb.drug (ceftriaxone; sulbactam)*,"Порошок для приготовления иньекционного раствора 1,0 г+0,5 г; N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.цефалоспоринов),J01DD63,DV/M 03980/11/21,30/11/21,введены изменения: 10.02.23,по рецепту
2679,"ЦЕФУРОКСИМ
(Sefuroksim)",cefuroxime,"Порошок для приготовления инъекционного раствора 0,75 г N1, N5, N10, N50, N60 (флаконы); N300 (6х50), N360 (6х60) (коробки)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DC02,DV/M 04479/06/23,08/06/23,,по рецепту
2680,"ЦЕФФАСТ
(Seffast)",cefotaxime,"Порошок для приготовления раствора для инъекций 1 г N1, N5 (1х5), N10 (1х10) (флаконы)",Узбекистан,"Jurabek Laboratories, СП ООО",Противомикробный препарат для системного использования. Антибактериальный препарат системного применения. Бета–лактамный антибактериальный препарат и другий. Цефалоспорин III поколения. Цефотаксим,J01DD01,DV/M 02845/11/19,01.11.19 19.04.25,,по рецепту
